country,party,year,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,STAN,2017,78,6450,8.758907945180094e-05,0.3418744955893485,8.759048375963198e-05,8.759002633173339e-05,0.14803520298286563,8.75920192876167e-05,0.5094771671657307,8.759211182200979e-05,8.758907210095119e-05,8.759146930132356e-05,topic_6
CZ,TOP09,2017,3411,254295,0.0008359486184925628,0.1473052203593038,0.0008671953211279841,0.051981320193060336,0.16342780468110077,0.23452001171847175,0.1340608265862339,0.060899914740193906,2.073094465556874e-06,0.2060996846875494,topic_5
CZ,Usvit,2017,1668,126302,0.0002593895037751999,0.04105908226065133,7.689577717248772e-06,0.00048629933536344664,0.4913225312631975,0.0034480225199434293,0.12013828981706673,0.17843335258762796,0.10979258026785235,0.055052762866804904,topic_4
CZ,ANO2011,2018,6274,458499,0.0006015539672289459,0.15394254974124716,0.005985077829650658,0.6054592391602682,0.05276621668126857,0.044393240678437376,0.05879021408797032,0.025876109577493745,0.002817908709919944,0.049367889566515145,topic_3
CZ,CSSD,2018,1686,134864,0.00017433921944736596,0.1693363159169939,0.0007282666336654518,0.04552878681462597,0.09700068667217089,0.0005745728695673559,0.5176077289179293,0.15949155732069048,0.0019148626561582675,0.007642882978751134,topic_6
CZ,KDU-ČSL,2018,2526,212324,0.0013815625420142037,0.20520611172286293,0.0020827427304549347,0.0056477192934836955,0.10972994385905083,0.027151928812310877,0.554200846935293,0.04444305593924754,0.020615936944389214,0.02954015122089289,topic_6
CZ,KSCM,2018,2171,164483,0.0005223544668176179,0.07987000253594184,0.005049668881006697,0.10882723687606577,0.5962536327314119,0.04207356059613205,0.09417228851849006,0.04261962982659041,0.013143030648930236,0.017468594918613533,topic_4
CZ,ODS,2018,6634,570944,0.0006827637912505992,0.7051245418209056,0.0032405497517460323,0.061504579447875914,0.08421993491044699,0.002509231474921763,0.0906762751786915,0.032715844953148776,0.008760327251087037,0.010565951419925885,topic_1
CZ,Piráti,2018,3130,249747,0.035462067634453226,0.33314419144373447,0.0053619823213898925,0.08873261108619376,0.07747981319318113,0.07439789445405812,0.2886631636932022,0.0032759988077171636,0.017991689793397034,0.07549058757267314,topic_1
CZ,SPD,2018,1088,77302,6.468905259541937e-06,0.12379746461516383,6.468824142751945e-06,0.11864691378919352,0.34075175101228,0.09738359079338417,0.04918462798237216,0.02366403075254783,0.2433617797931929,0.0031969035324633842,topic_4
