speech_party,month,month_start,speech_label_type,mpds_party_id,mpds_partyname,mpds_partyabbrev,manifesto_countryname,manifesto_partyname,manifesto_partyabbrev,manifesto_date,edate,manifesto_month_start,manifesto_effective_date,doc_key,selection_method,speech_rows,speech_dates,speech_start_date,speech_end_date
CSSD,2014-07,2014-07-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,447,6,2014-07-15,2014-07-30
KDU-ČSL,2014-07,2014-07-01,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date,78,4,2014-07-15,2014-07-24
KSCM,2014-07,2014-07-01,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date,251,6,2014-07-15,2014-07-25
ODS,2014-07,2014-07-01,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date,773,6,2014-07-15,2014-07-30
TOP09,2014-07,2014-07-01,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date,534,7,2014-07-15,2014-07-30
Usvit,2014-07,2014-07-01,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date,274,7,2014-07-15,2014-07-30
ANO2011,2014-08,2014-08-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,9,2,2014-08-01,2014-08-27
CSSD,2014-08,2014-08-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,7,1,2014-08-01,2014-08-01
KSCM,2014-08,2014-08-01,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date,4,1,2014-08-27,2014-08-27
ODS,2014-08,2014-08-01,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date,11,2,2014-08-01,2014-08-27
TOP09,2014-08,2014-08-01,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date,61,2,2014-08-01,2014-08-27
Usvit,2014-08,2014-08-01,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date,21,2,2014-08-01,2014-08-27
ANO2011,2014-09,2014-09-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,537,9,2014-09-10,2014-09-26
CSSD,2014-09,2014-09-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,719,10,2014-09-02,2014-09-26
KDU-ČSL,2014-09,2014-09-01,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date,351,10,2014-09-02,2014-09-26
KSCM,2014-09,2014-09-01,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date,382,10,2014-09-02,2014-09-26
